#  b = [b0:  0.02868000, b1:  0.00080000, b2: -0.02788000]
#  a = [a0:  1.00000000, a1: -2.00000000, a2:  1.00000000]
#  index      real(x)      imag(x)      real(y)      imag(y)        error
       0   1.00000000   0.00000000   1.00000000   0.00000000   0.00000000
       1   0.40808207   0.91294527   1.00000000   0.00000000   1.15044403
       2  -0.66693807   0.74511313   0.99945575   0.03298875   2.26789355
       3  -0.95241296  -0.30481061   0.99130684   0.13157043  -2.96380615
       4  -0.11038724  -0.99388868   0.99332005   0.11539166  -1.79705822
       5   0.86231887  -0.50636566   0.99984169  -0.01779308  -0.51317090
       6   0.81418097   0.58061117   0.99640989  -0.08466032   0.70424098
       7  -0.19781357   0.98023963   0.99665296  -0.08174913   1.85176361
       8  -0.97562933   0.21942526   0.99994016  -0.01093976   2.93130732
       9  -0.59846008  -0.80115265   0.99208790   0.12554543  -2.33825159
      10   0.48718768  -0.87329727   0.98930967   0.14583008  -1.20828176
      11   0.99608517   0.08839871   0.99882036   0.04855826   0.03993688
      12   0.32578132   0.94544518   0.99986923   0.01617129   1.22278643
      13  -0.73019415   0.68323970   0.99861932   0.05253079   2.33684754
      14  -0.92173958  -0.38780943   0.98788404   0.15519372  -2.89916229
      15  -0.02209662  -0.99975586   0.98968971   0.14322808  -1.73661709
      16   0.90370512  -0.42815542   0.99989712   0.01434378  -0.45679495
      17   0.75966829   0.65031075   0.99881464  -0.04867605   0.75668871
      18  -0.28369108   0.95891571   0.99911892  -0.04196922   1.90041900
      19  -0.99120682   0.13232186   0.99946940   0.03257122   2.97630453
      20  -0.52529633  -0.85091937   0.98508656   0.17205934  -2.29677939
      21   0.56247878  -0.82681173   0.98069960   0.19552067  -1.17020392
      22   0.98437136   0.17610529   0.99477410   0.10210036   0.07474990
      23   0.24092980   0.97054255   0.99733591   0.07294592   1.25446177
      24  -0.78773308   0.61601669   0.99368912   0.11216939   2.36551070
      25  -0.88384926  -0.46777180   0.97620994   0.21682757  -2.87338805
      26   0.06636702  -0.99779528   0.97819108   0.20770717  -1.71361089
      27   0.93801564  -0.34659290   0.99659866   0.08240821  -0.43643820
      28   0.69920772   0.71491861   0.99975812   0.02199335   0.77451253
      29  -0.36734742   0.93008381   0.99951559   0.03112290   1.91582382
      30  -0.99902350   0.04418245   0.99417430   0.10778429   2.98940182
      31  -0.44801971  -0.89402366   0.96877980   0.24792276  -2.28588080
      32   0.63336587  -0.77385253   0.96201783   0.27298665  -1.16139758
      33   0.96495020   0.26243302   0.98312432   0.18293868   0.08156798
      34   0.15419188   0.98804092   0.98776424   0.15595460   1.25939298
      35  -0.83910435   0.54397053   0.98050570   0.19649054   2.36865354
      36  -0.83903873  -0.54407167   0.95365840   0.30089152  -2.87193775
      37   0.15431102  -0.98802233   0.95595700   0.29350671  -1.71375930
      38   0.96498185  -0.26231667   0.98512912   0.17181560  -0.43809456
      39   0.63327253   0.77392888   0.99355602   0.11334198   0.77143586
      40  -0.44812751   0.89396966   0.99231517   0.12373590   1.91141212
      41  -0.99901813  -0.04430291   0.97963274   0.20079772   2.98373795
      42  -0.36723524  -0.93012810   0.94077569   0.33902967  -2.29271650
      43   0.69929391  -0.71483427   0.93126011   0.36435509  -1.16932726
      44   0.93797386   0.34670600   0.96065706   0.27773723   0.07261911
      45   0.06624670   0.99780327   0.96766239   0.25224885   1.24949753
      46  -0.88390565   0.46766523   0.95620000   0.29271412   2.35788107
      47  -0.78765881  -0.61611170   0.91881704   0.39468369  -2.88351965
      48   0.24104682  -0.97051346   0.92155319   0.38825205  -1.72608602
      49   0.98439258  -0.17598660   0.96264315   0.27077320  -0.45110410
      50   0.56237906   0.82687956   0.97681999   0.21406238   0.75780433
      51  -0.52539891   0.85085601   0.97439921   0.22482482   1.89721692
      52  -0.99119085  -0.13244139   0.95372957   0.30066574   2.96903372
      53  -0.28357548  -0.95894992   0.90063846   0.43456924  -2.30787683
      54   0.75974673  -0.65021914   0.88836688   0.45913434  -1.18489337
      55   0.90365350   0.42826438   0.92646939   0.37637016   0.05669600
      56  -0.02221717   0.99975318   0.93598437   0.35204163   1.23326385
      57  -0.92178631   0.38769826   0.92024982   0.39133137   2.34138155
      58  -0.73011178  -0.68332773   0.87227482   0.48901600  -2.90024328
      59   0.32589531  -0.94540584   0.87558270   0.48306829  -1.74299335
      60   0.99609584  -0.08827861   0.92875272   0.37069982  -0.46815610
      61   0.48708236   0.87335604   0.94879198   0.31590146   0.74064380
      62  -0.59855664   0.80108047   0.94522530   0.32641861   1.87998235
      63  -0.97560287  -0.21954289   0.91664970   0.39969149   2.95175838
      64  -0.19769537  -0.98026353   0.84971040   0.52724969  -2.32516313
      65   0.81425095  -0.58051300   0.83492362   0.55036581  -1.20216095
      66   0.86225784   0.50646961   0.88157332   0.47204715   0.03947398
      67  -0.11050709   0.99387532   0.89363497   0.44879454   1.21611369
      68  -0.95244974   0.30469579   0.87389076   0.48612237   2.32432652
      69  -0.66684824  -0.74519360   0.81595761   0.57811177  -2.91718030
      70   0.40819213  -0.91289604   0.81995296   0.57243091  -1.75979102
      71   1.00000000   0.00012058   0.88471442   0.46613339  -0.48479474
